SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/21/20,Winter,5,University Centre,UVC,UVC7,14:11,14:26,JO,N,none,n,n,n,NA,2020-01-21 UVC7 NA,
1/21/20,Winter,5,University Centre,UVC,UVC8,14:11,14:26,JO,N,none,n,n,n,NA,2020-01-21 UVC8 NA,
1/21/20,Winter,5,University Centre,UVC,UVC9,14:11,14:26,JO,N,none,n,n,n,NA,2020-01-21 UVC9 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB1,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB1 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB10,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB10 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB2,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB2 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB3,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB3 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB4,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB4 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB5,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB5 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB6,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB6 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB7,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB7 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB8,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB8 NA,
1/21/20,Winter,5,Michael Williams Building,MWB,MWB9,14:29,14:42,JO,N,none,n,n,n,NA,2020-01-21 MWB9 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA1,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA1 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA2,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA2 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA3,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA3 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA4,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA4 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA5,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA5 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA6,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA6 NA,
1/22/20,Winter,6,Fine Arts Building,FIA,FIA7,13:00,13:10,JO,N,none,n,n,n,NA,2020-01-22 FIA7 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB1,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB1 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB2,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB2 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB3,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB3 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB4,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB4 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB5,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB5 NA,
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB6,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB6 NA,
