"","BANDING_DAY","BANDING_MONTH","BANDING_YEAR","DATE","effortNhoursNet","effortTotalHoursNet","effort_str"
"1",1,9,2019,"2019-09-01",6,78,1
"2",2,9,2019,"2019-09-02",6,78,1
"3",3,9,2019,"2019-09-03",6,72.7,0.932051282051282
"4",4,9,2019,"2019-09-04",6,77,0.987179487179487
"5",5,9,2019,"2019-09-05",6,78,1
"6",6,9,2019,"2019-09-06",6,78,1
"7",7,9,2019,"2019-09-07",6,78,1
"8",8,9,2019,"2019-09-08",6,74.3,0.952564102564103
"9",9,9,2019,"2019-09-09",6,78,1
"10",10,9,2019,"2019-09-10",6,78,1
"11",11,9,2019,"2019-09-11",6,78,1
"12",12,9,2019,"2019-09-12",6,78,1
"13",13,9,2019,"2019-09-13",6,78,1
"14",14,9,2019,"2019-09-14",6,78,1
"15",15,9,2019,"2019-09-15",6,78,1
"16",16,9,2019,"2019-09-16",6,78,1
"17",17,9,2019,"2019-09-17",6,71,0.91025641025641
"18",18,9,2019,"2019-09-18",6,78,1
"19",19,9,2019,"2019-09-19",6,78,1
"20",20,9,2019,"2019-09-20",6,78,1
"21",21,9,2019,"2019-09-21",6,78,1
"22",22,9,2019,"2019-09-22",6,78,1
"23",23,9,2019,"2019-09-23",5.33333333,47,0.602564102564103
"24",24,9,2019,"2019-09-24",6,75,0.961538461538462
"25",25,9,2019,"2019-09-25",6,78,1
"26",26,9,2019,"2019-09-26",5,71,0.91025641025641
"27",27,9,2019,"2019-09-27",6,66,0.846153846153846
"28",28,9,2019,"2019-09-28",6,78,1
"29",29,9,2019,"2019-09-29",6,78,1
"30",30,9,2019,"2019-09-30",6,78,1
"31",1,10,2019,"2019-10-01",6,78,1
"32",2,10,2019,"2019-10-02",6,78,1
"33",3,10,2019,"2019-10-03",5.916666667,76.9,0.985897435897436
"34",4,10,2019,"2019-10-04",6,78,1
"35",5,10,2019,"2019-10-05",6,78,1
"36",6,10,2019,"2019-10-06",6,78,1
"37",7,10,2019,"2019-10-07",3.666666667,26.2,0.335897435897436
"38",8,10,2019,"2019-10-08",6,63,0.807692307692308
"39",9,10,2019,"2019-10-09",6,78,1
"40",10,10,2019,"2019-10-10",6,78,1
"41",11,10,2019,"2019-10-11",6,78,1
"42",12,10,2019,"2019-10-12",6,78,1
"43",13,10,2019,"2019-10-13",6,78,1
"44",14,10,2019,"2019-10-14",6,78,1
"45",15,10,2019,"2019-10-15",6,78,1
"46",16,10,2019,"2019-10-16",6,78,1
"47",17,10,2019,"2019-10-17",6,56.5,0.724358974358974
"48",18,10,2019,"2019-10-18",5.833333333,75.8,0.971794871794872
